,var,rel.inf,,,
ASIR,ASIR,0,,,ZAGG_PRESRI
ASKN,ASKN,0,,,ZAGG_PRHEUMTS
ASNR,ASNR,0,,,ZAGG_PSIR
ASTK,ASTK,0,,,ZAGG_PSKINMED
ATNF,ATNF,0,,,ZAGG_PVIAGRA
ATTH,ATTH,0,,,ZAGG_RAGEN
ATV,ATV,0,,,ZAGG_RARTS
AVG_AMOUNT_PAID,AVG_AMOUNT_PAID,0,,,ZAGG_RATEEN
AVIS,AVIS,0,,,ZAGG_RAWOMEN
AWGH,AWGH,0,,,ZAGG_RBOOKS
BAL_1STMTGCREDIT,BAL_1STMTGCREDIT,0,,,ZAGG_RCOMPHMO
BAL_1STMTGCREDIT_60DPD,BAL_1STMTGCREDIT_60DPD,0,,,ZAGG_RCRAFTS
BAL_1STMTGCREDIT_NEW,BAL_1STMTGCREDIT_NEW,0,,,ZAGG_RC_M
BAL_1STMTG_30TO59DPD,BAL_1STMTG_30TO59DPD,0,,,ZAGG_RDOLLARS
BAL_1STMTG_60TO89DPD,BAL_1STMTG_60TO89DPD,0,,,ZAGG_RELECTNC
BAL_1STMTG_90TO119DPD,BAL_1STMTG_90TO119DPD,0,,,ZAGG_RETAIL
BAL_1STMTG_BANKRUPTCY,BAL_1STMTG_BANKRUPTCY,0,,,ZAGG_RHEALTH
BAL_1STMTG_COLLECTIONS,BAL_1STMTG_COLLECTIONS,0,,,ZAGG_RHMFURN
BAL_1STMTG_FORECLOSURE,BAL_1STMTG_FORECLOSURE,0,,,ZAGG_RMUSIC
BAL_1STMTG_SEVEREDEROG,BAL_1STMTG_SEVEREDEROG,0,,,ZAGG_RSTATION
BAL_AGENCY1STMORG_30TO59DPD,BAL_AGENCY1STMORG_30TO59DPD,0,,,ZAGG_SPENDPAT_00
BAL_AGENCY1STMORG_60TO89DPD,BAL_AGENCY1STMORG_60TO89DPD,0,,,ZAGG_SPENDPAT_15
BAL_AGENCY1STMORG_90TO119DP,BAL_AGENCY1STMORG_90TO119DP,0,,,ZAGG_SPENDPAT_16
BAL_AGENCY1STMORG_BANKRUPTC,BAL_AGENCY1STMORG_BANKRUPTC,0,,,ZAGG_SSON
BAL_AGENCY1STMORG_COLLECTIO,BAL_AGENCY1STMORG_COLLECTIO,0,,,ZAGG_TRAD
BAL_AGENCY1STMORG_FORECLOSU,BAL_AGENCY1STMORG_FORECLOSU,0,,,ZAGG_TUOC_B
BAL_AGENCY1STMORG_SEVEREDER,BAL_AGENCY1STMORG_SEVEREDER,0,,,ZAGG_TUOC_C
BAL_AGENCYFIRSTMTG_60DPD,BAL_AGENCYFIRSTMTG_60DPD,0,,,ZAGG_TUOC_H
BAL_AGENCYFIRSTMTG_NEW,BAL_AGENCYFIRSTMTG_NEW,0,,,ZAGG_TUOC_N
BAL_AUTOBANK,BAL_AUTOBANK,0,,,ZAGG_TUOC_S
BAL_AUTOBANK_60DPD,BAL_AUTOBANK_60DPD,0,,,ZAGG_VOTE
BAL_AUTOBANK_NEW,BAL_AUTOBANK_NEW,0,,,ZAGG_Z4HMVALU
BAL_AUTOFINANCE,BAL_AUTOFINANCE,0,,,ZAGG_ZINCDEC_5
BAL_AUTOFINANCE_60DPD,BAL_AUTOFINANCE_60DPD,0,,,APT_P
BAL_AUTOFINANCE_NEW,BAL_AUTOFINANCE_NEW,0,,,APT_T
BAL_BANKCARDCREDIT,BAL_BANKCARDCREDIT,0,,,C210MYS_3
BAL_BANKCARDCREDIT_60DPD,BAL_BANKCARDCREDIT_60DPD,0,,,C210MYS_6
BAL_BANKCARD_30TO59DPD,BAL_BANKCARD_30TO59DPD,0,,,C210MYS_7
BAL_BANKCARD_60TO89DPD,BAL_BANKCARD_60TO89DPD,0,,,FAMP_O
BAL_BANKCARD_90TO119DPD,BAL_BANKCARD_90TO119DPD,0,,,FMLY_PRSNC
BAL_BANKCARD_BANKRUPTCY,BAL_BANKCARD_BANKRUPTCY,0,,,HHCOMP_A
BAL_BANKCARD_COLLECTIONS,BAL_BANKCARD_COLLECTIONS,0,,,HHCOMP_J
BAL_BANKCARD_SEVEREDEROG,BAL_BANKCARD_SEVEREDEROG,0,,,HOMSTAT_P
BAL_CONSUMERFINANCE,BAL_CONSUMERFINANCE,0,,,HOMSTAT_U
BAL_CONSUMERFINANCE_60DPD,BAL_CONSUMERFINANCE_60DPD,0,,,ONLINE_33
BAL_CONSUMERFINANCE_NEW,BAL_CONSUMERFINANCE_NEW,0,,,APT_A
BAL_HELOAN_30TO59DPD,BAL_HELOAN_30TO59DPD,0,,,APT_M
BAL_HELOAN_60TO89DPD,BAL_HELOAN_60TO89DPD,0,,,APT_N
BAL_HELOAN_90TO119DPD,BAL_HELOAN_90TO119DPD,0,,,C210MYS_2
BAL_HELOAN_BANKRUPTCY,BAL_HELOAN_BANKRUPTCY,0,,,CGN1_F
BAL_HELOAN_COLLECTIONS,BAL_HELOAN_COLLECTIONS,0,,,FAMP_M
BAL_HELOAN_FORECLOSURE,BAL_HELOAN_FORECLOSURE,0,,,HHCOMP_D
BAL_HELOC,BAL_HELOC,0,,,HOMSTAT_R
BAL_HELOC_30TO59DPD,BAL_HELOC_30TO59DPD,0,,,HOMSTAT_T
BAL_HELOC_60DPD,BAL_HELOC_60DPD,0,,,IOR_2
BAL_HELOC_60TO89DPD,BAL_HELOC_60TO89DPD,0,,,IOR_4
BAL_HELOC_90TO119DPD,BAL_HELOC_90TO119DPD,0,,,IOR_5
BAL_HELOC_BANKRUPTCY,BAL_HELOC_BANKRUPTCY,0,,,ONLINE_10
BAL_HELOC_COLLECTIONS,BAL_HELOC_COLLECTIONS,0,,,ONLINE_27
BAL_HELOC_FORECLOSURE,BAL_HELOC_FORECLOSURE,0,,,TUOCS_B
BAL_HELOC_NEW,BAL_HELOC_NEW,0,,,TUOCS_D
BAL_HELOC_SEVEREDEROG,BAL_HELOC_SEVEREDEROG,0,,,TUOCS_E
BAL_MTGCREDIT,BAL_MTGCREDIT,0,,,TUOCS_G
BAL_MTGCREDIT_60DPD,BAL_MTGCREDIT_60DPD,0,,,TUOCS_L
BAL_MTGCREDIT_NEW,BAL_MTGCREDIT_NEW,0,,,TUOCS_M
BAL_MTG_30TO59DPD,BAL_MTG_30TO59DPD,0,,,TUOC_C
BAL_MTG_60TO89DPD,BAL_MTG_60TO89DPD,0,,,TUOC_D
BAL_MTG_90TO119DPD,BAL_MTG_90TO119DPD,0,,,TUOC_G
BAL_MTG_BANKRUPTCY,BAL_MTG_BANKRUPTCY,0,,,TUOC_H
BAL_MTG_COLLECTIONS,BAL_MTG_COLLECTIONS,0,,,TUOC_K
BAL_MTG_FORECLOSURE,BAL_MTG_FORECLOSURE,0,,,ANNL_PREM_BFOR
BAL_MTG_SEVEREDEROG,BAL_MTG_SEVEREDEROG,0,,,BENEFIT_POOL_ASSET_RATIO
BAL_NONAGN1STMORG_30TO59DPD,BAL_NONAGN1STMORG_30TO59DPD,0,,,BENE_TRM_BFOR
BAL_NONAGN1STMORG_60TO89DPD,BAL_NONAGN1STMORG_60TO89DPD,0,,,BIO_AFTER_NO_BIO
BAL_NONAGN1STMORG_90TO119DP,BAL_NONAGN1STMORG_90TO119DP,0,,,BIO_BEFORE_NO_BIO
BAL_NONAGN1STMORG_BANKRUPTC,BAL_NONAGN1STMORG_BANKRUPTC,0,,,CLAIM_COUNT_CONTACT_DYNAMIC
BAL_NONAGN1STMORG_COLLECTIO,BAL_NONAGN1STMORG_COLLECTIO,0,,,DECISION_STAGE
BAL_NONAGN1STMORG_FORECLOSU,BAL_NONAGN1STMORG_FORECLOSU,0,,,GENDER_S
BAL_NONAGN1STMORG_SEVEREDER,BAL_NONAGN1STMORG_SEVEREDER,0,,,IFA_GROUP_STATE_PROD_FA
BAL_NONAGNFIRSTMTG,BAL_NONAGNFIRSTMTG,0,,,IF_RED_BENPERIOD
BAL_NONAGNFIRSTMTG_60DPD,BAL_NONAGNFIRSTMTG_60DPD,0,,,IF_RED_BIO
BAL_NONAGNFIRSTMTG_NEW,BAL_NONAGNFIRSTMTG_NEW,0,,,IF_RED_DBA
BAL_NONMTGCREDIT_60DPD,BAL_NONMTGCREDIT_60DPD,0,,,IF_RED_ELIM
BAL_OTHERNONMTG,BAL_OTHERNONMTG,0,,,NUM_DECISIONS
BAL_OTHERNONMTG_60DPD,BAL_OTHERNONMTG_60DPD,0,,,PHASE
BAL_OTHERNONMTG_NEW,BAL_OTHERNONMTG_NEW,0,,,POLICYHOLDER_AGE
BAL_RETAILCREDIT,BAL_RETAILCREDIT,0,,,POLICY_AGE_2
BAL_RETAILCREDIT_60DPD,BAL_RETAILCREDIT_60DPD,0,,,PREM_PAID_TOT_1
BAL_RETAILCREDIT_NEW,BAL_RETAILCREDIT_NEW,0,,,PREM_PAID_TOT_2
BAL_STUDENTLOAN_60DPD,BAL_STUDENTLOAN_60DPD,0,,,RATE_INCR
BAL_STUDENTLOAN_NEW,BAL_STUDENTLOAN_NEW,0,,,RATE_INCR_AFFORD
BAL_TOTALALLCREDIT,BAL_TOTALALLCREDIT,0,,,RBO_NUM_CHANGES
BAL_TOTALALLCREDIT_60DPD,BAL_TOTALALLCREDIT_60DPD,0,,,RESPONSE
BAL_TOTALALLCREDIT_60TO89DPD,BAL_TOTALALLCREDIT_60TO89DPD,0,,,RESPONSE_PRE
BAL_TOTALALLCREDIT_90TO119DPD,BAL_TOTALALLCREDIT_90TO119DPD,0,,,SHARED_POLICY
BAL_TOTALALLCREDIT_BANKRUPTCY,BAL_TOTALALLCREDIT_BANKRUPTCY,0,,,STATE_AK
BAL_TOTALALLCREDIT_COLLECTIONS,BAL_TOTALALLCREDIT_COLLECTIONS,0,,,STATE_MI
BAL_TOTALALLCREDIT_FORECLOSURE,BAL_TOTALALLCREDIT_FORECLOSURE,0,,,STATE_WA
BAL_TOTALALLCREDIT_SEVEREDEROG,BAL_TOTALALLCREDIT_SEVEREDEROG,0,,,STATE_WY
BANK,BANK,0,,,BINARY_NS_RAWSCR
BAVGDOLL,BAVGDOLL,0,,,BINARY_NS_TRANS
BINARY_AC_RAWSCR,BINARY_AC_RAWSCR,0,,,BONDOLLR
BINARY_AC_TRANS,BINARY_AC_TRANS,0,,,IOAPPLE
BINARY_ASTHMA_RAWSCR,BINARY_ASTHMA_RAWSCR,0,,,N2029
BINARY_ASTHMA_TRANS,BINARY_ASTHMA_TRANS,0,,,N65P
BINARY_BP_RAWSCR,BINARY_BP_RAWSCR,0,,,NETW30
BINARY_CARDIO_RAWSCR,BINARY_CARDIO_RAWSCR,0,,,HH_TOTALALLCREDIT_BANKRUPTCY
BINARY_CARDIO_TRANS,BINARY_CARDIO_TRANS,0,,,NUM_AGENCY1STMORG_30TO59DPD
BINARY_HERNIA_RAWSCR,BINARY_HERNIA_RAWSCR,0,,,NUM_TOTALALLCREDIT_BANKRUPTCY
BINARY_HERNIA_TRANS,BINARY_HERNIA_TRANS,0,,,ZAGG_C210B200
BINARY_HYPT_RAWSCR,BINARY_HYPT_RAWSCR,0,,,ZAGG_TUOC_Q
BINARY_HYPT_TRANS,BINARY_HYPT_TRANS,0,,,NETW
BINARY_MENTAL_RAWSCR,BINARY_MENTAL_RAWSCR,0,,,APT_C
BINARY_MENTAL_TRANS,BINARY_MENTAL_TRANS,0,,,
BINARY_MUSC_TRANS,BINARY_MUSC_TRANS,0,,,
BINARY_NF_RAWSCR,BINARY_NF_RAWSCR,0,,,
BINARY_NF_TRANS,BINARY_NF_TRANS,0,,,
BINARY_NM_TRANS,BINARY_NM_TRANS,0,,,
BINARY_NO_TRANS,BINARY_NO_TRANS,0,,,
BINARY_NS_TRANS,BINARY_NS_TRANS,0,,,
BINARY_NT_TRANS,BINARY_NT_TRANS,0,,,
BINARY_PREG_TRANS,BINARY_PREG_TRANS,0,,,
BINARY_RESP_TRANS,BINARY_RESP_TRANS,0,,,
BNKI,BNKI,0,,,
BOAT,BOAT,0,,,
BOFDOLLR,BOFDOLLR,0,,,
BOFORDER,BOFORDER,0,,,
BONDOLLR,BONDOLLR,0,,,
BONORDER,BONORDER,0,,,
BPAMEX,BPAMEX,0,,,
BPCREDIT,BPCREDIT,0,,,
BPDISCVR,BPDISCVR,0,,,
BPHOUSE,BPHOUSE,0,,,
BPMASTER,BPMASTER,0,,,
BPRETAIL,BPRETAIL,0,,,
BPVISA,BPVISA,0,,,
BTOTLDOL,BTOTLDOL,0,,,
BTOTLORD,BTOTLORD,0,,,
C210APVT,C210APVT,0,,,
C210AUTO,C210AUTO,0,,,
C210B200,C210B200,0,,,
C210BLU,C210BLU,0,,,
C210BPVT,C210BPVT,0,,,
C210CIP,C210CIP,0,,,
C210EBI,C210EBI,0,,,
C210HMI,C210HMI,0,,,
C210HVA,C210HVA,0,,,
C210KSES,C210KSES,0,,,
C210M200,C210M200,0,,,
C210MAH,C210MAH,0,,,
C210MOB,C210MOB,0,,,
C210PBL,C210PBL,0,,,
C210PDSC,C210PDSC,0,,,
C210PHI,C210PHI,0,,,
C210PMR,C210PMR,0,,,
C210PMV,C210PMV,0,,,
C210PSU,C210PSU,0,,,
C210PWC,C210PWC,0,,,
C210PWH,C210PWH,0,,,
C210WHT,C210WHT,0,,,
CA00,CA00,0,,,
CA03,CA03,0,,,
CA06,CA06,0,,,
CA11,CA11,0,,,
CA16,CA16,0,,,
CCW,CCW,0,,,
CD,CD,0,,,
CGN1,CGN1,0,,,
CGN2,CGN2,0,,,
CGN3,CGN3,0,,,
CGN4,CGN4,0,,,
CLAIM_COUNT_CLOSED_DYNAMIC,CLAIM_COUNT_CLOSED_DYNAMIC,0,,,
CLAIM_COUNT_CONTACT_DYNAMIC,CLAIM_COUNT_CONTACT_DYNAMIC,0,,,
CLAIM_COUNT_DYNAMIC,CLAIM_COUNT_DYNAMIC,0,,,
CLAIM_COUNT_NP_CLOSED_DYNAMIC,CLAIM_COUNT_NP_CLOSED_DYNAMIC,0,,,
CLAIM_COUNT_OPEN_DYNAMIC,CLAIM_COUNT_OPEN_DYNAMIC,0,,,
CO,CO,0,,,
COLLEGE,COLLEGE,0,,,
CONSHOP,CONSHOP,0,,,
CSR,CSR,0,,,
DERIVED_MARITAL_STATUS,DERIVED_MARITAL_STATUS,0,,,
ELIM_PRD_AFTR,ELIM_PRD_AFTR,0,,,
EMDM,EMDM,0,,,
FINB,FINB,0,,,
FINC,FINC,0,,,
FINI,FINI,0,,,
FMLY_PRSNC,FMLY_PRSNC,0,,,
FURN,FURN,0,,,
GROC,GROC,0,,,
HHMARST,HHMARST,0,,,
HH_1STMTGCREDIT,HH_1STMTGCREDIT,0,,,
HH_1STMTGCREDIT_60DPD,HH_1STMTGCREDIT_60DPD,0,,,
HH_1STMTGCREDIT_NEW,HH_1STMTGCREDIT_NEW,0,,,
HH_1STMTG_30TO59DPD,HH_1STMTG_30TO59DPD,0,,,
HH_1STMTG_60TO89DPD,HH_1STMTG_60TO89DPD,0,,,
HH_1STMTG_90TO119DPD,HH_1STMTG_90TO119DPD,0,,,
HH_1STMTG_BANKRUPTCY,HH_1STMTG_BANKRUPTCY,0,,,
HH_1STMTG_COLLECTIONS,HH_1STMTG_COLLECTIONS,0,,,
HH_1STMTG_FORECLOSURE,HH_1STMTG_FORECLOSURE,0,,,
HH_1STMTG_SEVEREDEROG,HH_1STMTG_SEVEREDEROG,0,,,
HH_AGENCY1STMORG_30TO59DPD,HH_AGENCY1STMORG_30TO59DPD,0,,,
HH_AGENCY1STMORG_60TO89DPD,HH_AGENCY1STMORG_60TO89DPD,0,,,
HH_AGENCY1STMORG_90TO119DPD,HH_AGENCY1STMORG_90TO119DPD,0,,,
HH_AGENCY1STMORG_BANKRUPTCY,HH_AGENCY1STMORG_BANKRUPTCY,0,,,
HH_AGENCY1STMORG_COLLECTION,HH_AGENCY1STMORG_COLLECTION,0,,,
HH_AGENCY1STMORG_FORECLOSUR,HH_AGENCY1STMORG_FORECLOSUR,0,,,
HH_AGENCY1STMORG_SEVEREDERO,HH_AGENCY1STMORG_SEVEREDERO,0,,,
HH_AGENCYFIRSTMTG,HH_AGENCYFIRSTMTG,0,,,
HH_AGENCYFIRSTMTG_60DPD,HH_AGENCYFIRSTMTG_60DPD,0,,,
HH_AGENCYFIRSTMTG_NEW,HH_AGENCYFIRSTMTG_NEW,0,,,
HH_AUTOBANK,HH_AUTOBANK,0,,,
HH_AUTOBANK_60DPD,HH_AUTOBANK_60DPD,0,,,
HH_AUTOBANK_NEW,HH_AUTOBANK_NEW,0,,,
HH_AUTOFINANCE_60DPD,HH_AUTOFINANCE_60DPD,0,,,
HH_AUTOFINANCE_NEW,HH_AUTOFINANCE_NEW,0,,,
HH_BANKCARDCREDIT,HH_BANKCARDCREDIT,0,,,
HH_BANKCARDCREDIT_60DPD,HH_BANKCARDCREDIT_60DPD,0,,,
HH_BANKCARDCREDIT_NEW,HH_BANKCARDCREDIT_NEW,0,,,
HH_BANKCARD_30TO59DPD,HH_BANKCARD_30TO59DPD,0,,,
HH_BANKCARD_60TO89DPD,HH_BANKCARD_60TO89DPD,0,,,
HH_BANKCARD_90TO119DPD,HH_BANKCARD_90TO119DPD,0,,,
HH_BANKCARD_BANKRUPTCY,HH_BANKCARD_BANKRUPTCY,0,,,
HH_BANKCARD_COLLECTIONS,HH_BANKCARD_COLLECTIONS,0,,,
HH_BANKCARD_SEVEREDEROG,HH_BANKCARD_SEVEREDEROG,0,,,
HH_CONSUMERFINANCE,HH_CONSUMERFINANCE,0,,,
HH_CONSUMERFINANCE_60DPD,HH_CONSUMERFINANCE_60DPD,0,,,
HH_CONSUMERFINANCE_NEW,HH_CONSUMERFINANCE_NEW,0,,,
HH_HELOAN_30TO59DPD,HH_HELOAN_30TO59DPD,0,,,
HH_HELOAN_60TO89DPD,HH_HELOAN_60TO89DPD,0,,,
HH_HELOAN_90TO119DPD,HH_HELOAN_90TO119DPD,0,,,
HH_HELOAN_BANKRUPTCY,HH_HELOAN_BANKRUPTCY,0,,,
HH_HELOAN_COLLECTIONS,HH_HELOAN_COLLECTIONS,0,,,
HH_HELOAN_FORECLOSURE,HH_HELOAN_FORECLOSURE,0,,,
HH_HELOC,HH_HELOC,0,,,
HH_HELOC_30TO59DPD,HH_HELOC_30TO59DPD,0,,,
HH_HELOC_60DPD,HH_HELOC_60DPD,0,,,
HH_HELOC_60TO89DPD,HH_HELOC_60TO89DPD,0,,,
HH_HELOC_90TO119DPD,HH_HELOC_90TO119DPD,0,,,
HH_HELOC_BANKRUPTCY,HH_HELOC_BANKRUPTCY,0,,,
HH_HELOC_COLLECTIONS,HH_HELOC_COLLECTIONS,0,,,
HH_HELOC_FORECLOSURE,HH_HELOC_FORECLOSURE,0,,,
HH_HELOC_NEW,HH_HELOC_NEW,0,,,
HH_HELOC_SEVEREDEROG,HH_HELOC_SEVEREDEROG,0,,,
HH_HOMEEQUITYLOANS,HH_HOMEEQUITYLOANS,0,,,
HH_HOMEEQUITYLOANS_60DPD,HH_HOMEEQUITYLOANS_60DPD,0,,,
HH_INCOME,HH_INCOME,0,,,
HH_MTGCREDIT_60DPD,HH_MTGCREDIT_60DPD,0,,,
HH_MTGCREDIT_NEW,HH_MTGCREDIT_NEW,0,,,
HH_MTG_30TO59DPD,HH_MTG_30TO59DPD,0,,,
HH_MTG_60TO89DPD,HH_MTG_60TO89DPD,0,,,
HH_MTG_90TO119DPD,HH_MTG_90TO119DPD,0,,,
HH_MTG_BANKRUPTCY,HH_MTG_BANKRUPTCY,0,,,
HH_MTG_FORECLOSURE,HH_MTG_FORECLOSURE,0,,,
HH_MTG_SEVEREDEROG,HH_MTG_SEVEREDEROG,0,,,
HH_NONAGN1STMORG_30TO59DPD,HH_NONAGN1STMORG_30TO59DPD,0,,,
HH_NONAGN1STMORG_60TO89DPD,HH_NONAGN1STMORG_60TO89DPD,0,,,
HH_NONAGN1STMORG_90TO119DPD,HH_NONAGN1STMORG_90TO119DPD,0,,,
HH_NONAGN1STMORG_BANKRUPTCY,HH_NONAGN1STMORG_BANKRUPTCY,0,,,
HH_NONAGN1STMORG_COLLECTION,HH_NONAGN1STMORG_COLLECTION,0,,,
HH_NONAGN1STMORG_FORECLOSUR,HH_NONAGN1STMORG_FORECLOSUR,0,,,
HH_NONAGN1STMORG_SEVEREDERO,HH_NONAGN1STMORG_SEVEREDERO,0,,,
HH_NONAGNFIRSTMTG,HH_NONAGNFIRSTMTG,0,,,
HH_NONAGNFIRSTMTG_60DPD,HH_NONAGNFIRSTMTG_60DPD,0,,,
HH_NONAGNFIRSTMTG_NEW,HH_NONAGNFIRSTMTG_NEW,0,,,
HH_NONMTGCREDIT,HH_NONMTGCREDIT,0,,,
HH_NONMTGCREDIT_60DPD,HH_NONMTGCREDIT_60DPD,0,,,
HH_OTHERNONMTG,HH_OTHERNONMTG,0,,,
HH_OTHERNONMTG_60DPD,HH_OTHERNONMTG_60DPD,0,,,
HH_OTHERNONMTG_NEW,HH_OTHERNONMTG_NEW,0,,,
HH_RETAILCREDIT_60DPD,HH_RETAILCREDIT_60DPD,0,,,
HH_STUDENTLOAN,HH_STUDENTLOAN,0,,,
HH_STUDENTLOAN_60DPD,HH_STUDENTLOAN_60DPD,0,,,
HH_STUDENTLOAN_NEW,HH_STUDENTLOAN_NEW,0,,,
HH_TOTALALLCREDIT,HH_TOTALALLCREDIT,0,,,
HH_TOTALALLCREDIT_30TO59DPD,HH_TOTALALLCREDIT_30TO59DPD,0,,,
HH_TOTALALLCREDIT_60DPD,HH_TOTALALLCREDIT_60DPD,0,,,
HH_TOTALALLCREDIT_60TO89DPD,HH_TOTALALLCREDIT_60TO89DPD,0,,,
HH_TOTALALLCREDIT_BANKRUPTCY,HH_TOTALALLCREDIT_BANKRUPTCY,0,,,
HH_TOTALALLCREDIT_COLLECTIONS,HH_TOTALALLCREDIT_COLLECTIONS,0,,,
HH_TOTALALLCREDIT_FORECLOSURE,HH_TOTALALLCREDIT_FORECLOSURE,0,,,
HH_TOTALALLCREDIT_NEW,HH_TOTALALLCREDIT_NEW,0,,,
HH_TOTALALLCREDIT_SEVEREDEROG,HH_TOTALALLCREDIT_SEVEREDEROG,0,,,
HIGHCRD_1STMTGCREDIT,HIGHCRD_1STMTGCREDIT,0,,,
HIGHCRD_1STMTGCREDIT_NEW,HIGHCRD_1STMTGCREDIT_NEW,0,,,
HIGHCRD_AGENCYFIRSTMTG,HIGHCRD_AGENCYFIRSTMTG,0,,,
HIGHCRD_AGENCYFIRSTMTG_NEW,HIGHCRD_AGENCYFIRSTMTG_NEW,0,,,
HIGHCRD_AUTOBANK,HIGHCRD_AUTOBANK,0,,,
HIGHCRD_AUTOBANK_NEW,HIGHCRD_AUTOBANK_NEW,0,,,
HIGHCRD_AUTOFINANCE,HIGHCRD_AUTOFINANCE,0,,,
HIGHCRD_AUTOFINANCE_NEW,HIGHCRD_AUTOFINANCE_NEW,0,,,
HIGHCRD_HELOC_NEW,HIGHCRD_HELOC_NEW,0,,,
HIGHCRD_HOMEEQUITYLOANS,HIGHCRD_HOMEEQUITYLOANS,0,,,
HIGHCRD_HOMEEQUITYLOANS_NEW,HIGHCRD_HOMEEQUITYLOANS_NEW,0,,,
HIGHCRD_MTGCREDIT,HIGHCRD_MTGCREDIT,0,,,
HIGHCRD_MTGCREDIT_NEW,HIGHCRD_MTGCREDIT_NEW,0,,,
HIGHCRD_NONAGNFIRSTMORT_NEW,HIGHCRD_NONAGNFIRSTMORT_NEW,0,,,
HIGHCRD_NONAGNFIRSTMTG,HIGHCRD_NONAGNFIRSTMTG,0,,,
HIGHCRD_NONMTGCREDIT,HIGHCRD_NONMTGCREDIT,0,,,
HIGHCRD_NONMTGCREDIT_NEW,HIGHCRD_NONMTGCREDIT_NEW,0,,,
HIGHCRD_OTHERNONMTG,HIGHCRD_OTHERNONMTG,0,,,
HIGHCRD_OTHERNONMTG_NEW,HIGHCRD_OTHERNONMTG_NEW,0,,,
HIGHCRD_RETAILCREDIT,HIGHCRD_RETAILCREDIT,0,,,
HIGHCRD_STUDENTLOAN,HIGHCRD_STUDENTLOAN,0,,,
HIGHCRD_STUDENTLOAN_NEW,HIGHCRD_STUDENTLOAN_NEW,0,,,
HIGHCRD_TOTALALLCREDIT,HIGHCRD_TOTALALLCREDIT,0,,,
HIGHCRD_TOTALALLCREDIT_NEW,HIGHCRD_TOTALALLCREDIT_NEW,0,,,
