"team","WIN_1","WIN_2","WIN_3","WIN_4","WIN_5","WIN_6","WIN_7","WIN_8","WIN_9","WIN_10","WIN_11","WIN_12","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","opp_points_1","opp_points_2","opp_points_3","opp_points_4","opp_points_5","opp_points_6","opp_points_7","opp_points_8","opp_points_9","opp_points_10","opp_points_11","opp_points_12","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","WIN_1.smooth","WIN_2.smooth","WIN_3.smooth","WIN_4.smooth","WIN_5.smooth","WIN_6.smooth","WIN_7.smooth","WIN_8.smooth","WIN_9.smooth","WIN_10.smooth","WIN_11.smooth","WIN_12.smooth","points_1.smooth","points_2.smooth","points_3.smooth","points_4.smooth","points_5.smooth","points_6.smooth","points_7.smooth","points_8.smooth","points_9.smooth","points_10.smooth","points_11.smooth","points_12.smooth","opp_points_1.smooth","opp_points_2.smooth","opp_points_3.smooth","opp_points_4.smooth","opp_points_5.smooth","opp_points_6.smooth","opp_points_7.smooth","opp_points_8.smooth","opp_points_9.smooth","opp_points_10.smooth","opp_points_11.smooth","opp_points_12.smooth","rank_1.smooth","rank_2.smooth","rank_3.smooth","rank_4.smooth","rank_5.smooth","rank_6.smooth","rank_7.smooth","rank_8.smooth","rank_9.smooth","rank_10.smooth","rank_11.smooth","rank_12.smooth","cluster","Is_Representative"
"ORE",1,0,1,0,1,0,1,1,1,1,1,1,61,28,61,20,41,38,26,61,44,38,48,52,42,31,28,62,24,45,20,55,28,36,28,42,7,7,12,13,50,50,50,50,50,50,23,18,0.8,0.2,0.8,0.2,0.8,0.3,1,1,1,1,0.9,0.7,54.4,33.8,50.8,26,38.9,37.9,34.8,55.3,43.2,41.4,44,36.4,38.4,33.5,34.4,52.7,27.8,41,27.8,47.7,29.6,35,28,29.4,7.5,8.6,16,24.1,50,50,50,50,47.3,41.4,19.7,12.6,1,FALSE
"ORST",1,0,1,0,0,0,0,0,0,0,0,0,26,7,35,24,7,31,13,12,0,24,7,42,7,35,21,42,44,52,17,27,41,54,52,52,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0,0,0,0,0,0,0,0,23.1,14.3,30,21.3,12.4,25.5,11.5,10.8,5.5,22.4,13.3,29.4,14,32.9,27.5,43.4,42.9,42.5,21.4,32.5,44.7,53.4,46.8,36.4,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"PIT",1,1,0,1,1,1,1,0,0,1,1,0,45,24,24,17,26,31,23,19,30,31,45,24,37,7,27,13,19,28,20,26,42,13,34,29,50,50,50,50,50,50,25,23,50,50,50,50,0.9,0.8,0.3,1,1,0.9,0.7,0.1,0.3,0.9,0.7,0,38.7,23.3,22.8,20.2,26.7,28.2,22.9,22.4,31.7,33.1,36.3,16.8,30,11.6,23.4,15.7,20.9,26.2,23.4,27.9,35.4,18.8,29.6,20.3,50,50,50,50,47.5,42.3,27.1,31.1,50,50,45,35,2,FALSE
"PNST",0,1,1,1,1,1,0,1,1,0,0,0,10,27,28,37,20,29,10,31,39,21,16,16,27,14,3,21,14,7,38,30,0,23,28,55,50,50,50,50,50,50,50,50,50,50,50,50,0.3,1,1,1,0.9,0.8,0.3,0.9,0.7,0,0,0,15.2,28.2,29,32.8,20.8,25.4,17.1,31.6,33.1,19.5,14.4,11.2,22,12.5,7.7,18.2,15,15.5,32.6,23.3,7.4,27.2,30.6,38.5,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"PUR",0,1,0,0,0,0,0,1,0,0,0,0,31,38,24,28,21,13,7,55,14,14,20,36,41,14,51,35,24,41,24,45,48,21,40,54,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0.1,0.2,0.7,0,0,0,0,31.7,34.2,24.5,25.1,18,16,17.3,42.7,14.6,17.4,21.2,25.2,36.6,23.5,45.1,33.4,27.4,38,30.6,43.2,41.8,28.1,38.8,37.8,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"RICE",1,0,1,0,0,1,1,0,0,0,0,1,56,28,38,17,10,27,38,17,21,10,24,27,16,42,24,70,49,26,31,42,24,65,34,7,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.3,0.9,0.7,0,0,0.1,0.2,0.7,48.6,28.9,31,16.6,16.2,28.2,32.1,17.1,19.1,14.5,22.2,18.9,22,41.2,35.7,61.4,42.6,28.6,32.5,40.7,33.2,53,25.2,4.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"RUT",1,0,0,1,0,1,0,0,0,0,1,0,63,34,3,27,24,55,7,10,16,14,31,41,13,37,28,14,31,52,49,48,49,31,21,46,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.8,0.2,0.7,0,0,0.1,0.2,0.7,0,51.2,27.1,9.9,29.2,28.5,40.9,8.5,11.6,17.1,20.1,29.9,28.7,19.3,32.9,25.5,21.2,37,51,48.8,46.5,42.6,30.5,23.9,32.2,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"SALA",1,0,1,0,1,0,0,1,1,0,0,0,33,9,34,13,24,31,18,52,32,10,17,27,23,48,27,63,18,49,36,45,25,24,55,34,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.8,0.2,0.7,0.1,0.3,0.9,0.7,0,0,0,28.3,14.4,28.8,17,24.8,30.5,26.2,43.8,26.1,13.1,17.3,18.9,28.4,45.3,33.3,52.6,26,46,36.7,38.9,27.8,31.2,45.3,23.8,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"SCAR",1,0,0,1,0,0,1,0,0,0,0,0,17,22,20,31,10,24,19,28,24,14,22,32,13,26,52,14,24,45,10,35,27,24,23,37,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0,0,0,0,0,18.3,22.5,21.2,26.1,13.7,23.4,21.3,25.8,21.8,17.4,21.8,22.4,19.5,30,41.6,19.1,26.8,37,16.7,32.3,26,25.1,23.5,25.9,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"SDST",1,0,0,0,1,1,1,1,1,1,1,1,41,7,27,21,21,28,30,48,41,38,52,31,38,35,34,37,7,14,7,14,17,3,14,14,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0.1,0.3,1,1,1,1,1,1,0.9,0.7,32.8,12.4,25.2,21.7,23.3,30.4,34.7,45.6,41.5,40.1,42.6,21.7,37,35,31.9,28.7,8.4,12.6,9.4,13.5,13.9,6.3,12.6,9.8,50,50,50,50,50,50,50,50,50,50,45,35,1,TRUE
"SFL",1,0,0,0,1,1,1,0,1,1,1,1,51,14,17,17,45,28,38,17,22,44,65,44,3,34,35,24,24,20,14,29,17,23,27,3,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0.1,0.3,1,0.9,0.8,0.3,1,1,0.9,0.7,40.2,14.9,19.8,23.7,40.9,28.9,32.2,20.7,30.7,48.2,54.3,30.8,12.4,33.2,31.7,23.6,22.2,19.7,17.3,26,19.2,21.8,19.5,2.1,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"SJST",1,0,0,1,0,1,0,1,0,0,1,0,43,16,21,49,21,33,7,31,16,34,42,23,13,37,35,23,35,27,30,21,17,37,23,40,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.8,0.2,0.8,0.2,0.7,0.1,0.2,0.7,0,35.4,20.3,26.6,41.8,22,27.6,12.7,28.3,22.2,34.5,34,16.1,20,35.2,32.6,25.8,32.9,27,26.9,21.8,21.6,34.5,24.1,28,50,50,50,50,50,50,50,50,50,50,45,35,2,TRUE
"SMIS",0,1,1,0,1,0,1,1,1,1,1,1,16,52,56,28,49,10,32,44,34,65,56,58,34,6,50,36,14,31,10,10,13,10,31,24,50,50,50,50,50,50,50,50,50,50,50,50,0.3,0.9,0.8,0.2,0.8,0.3,1,1,1,1,0.9,0.7,27.2,50.4,49.7,30.4,39.5,17.8,34.6,44.1,42.4,62.5,50.8,40.6,30,17.8,43.6,31.1,17,24.7,10.3,10.6,14.2,15.6,26.5,16.8,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"SMU",0,1,0,0,0,0,0,0,0,0,1,0,21,31,37,45,23,28,14,31,40,14,49,0,56,13,56,48,49,49,38,40,60,55,21,63,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0,0,0,0.1,0.2,0.7,0,24.6,33.6,37.2,38.9,23.1,25.5,20,31.1,35.7,19.6,34.3,0,47.4,25.1,53.7,48.3,47.9,45.9,40.6,45.5,55.1,49,27.3,44.1,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"STAN",0,1,1,1,1,1,1,1,1,0,1,1,6,31,41,42,55,56,31,30,42,36,35,38,16,7,31,24,17,35,14,28,10,38,22,36,21,50,50,21,18,15,10,8,9,7,15,13,0.3,1,1,1,1,1,1,0.9,0.8,0.3,0.9,0.7,14.5,34.1,42.6,46,52.8,48.4,31.9,33,40.1,36,32.1,26.6,15.7,13.5,28.2,23.7,20.3,30.1,16.4,25.4,16.8,34.6,22.6,25.2,29.7,47.1,41,19.8,16.6,13.3,9.5,8.1,9.2,9.2,13.1,9.1,3,FALSE
"SYR",1,1,1,0,0,0,0,0,0,0,0,1,47,30,30,24,24,38,20,21,17,27,29,20,0,17,27,34,45,44,23,45,41,37,42,17,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.7,0,0,0,0,0,0,0.1,0.2,0.7,41.9,29.4,28.2,25.4,26.4,32.7,19.9,20.8,20.2,26.7,24.3,14,6.1,20.7,30.2,37.2,42.6,39.9,29.2,43.4,40.3,36,32.8,11.9,50,50,50,50,50,50,50,50,50,50,45,35,4,TRUE
"TCU",1,1,1,1,1,1,1,1,0,1,0,1,23,70,56,55,50,52,45,40,29,23,29,28,17,7,37,52,7,45,21,10,49,17,30,21,2,3,3,4,4,2,3,5,5,13,11,15,1,1,1,1,1,1,0.9,0.8,0.2,0.8,0.2,0.7,35.7,65.7,55.2,53.7,49.9,49.4,42.4,36.1,27.8,24.7,25.9,19.6,17,17.5,37,42.3,16,36.7,21.6,18.5,40.7,20,25.2,14.7,2.3,3.1,3.3,3.8,3.5,2.5,3.6,5.8,7.2,12.8,10.7,10.5,3,FALSE
"TEM",1,1,1,1,1,1,1,0,1,0,1,1,27,34,25,37,49,30,24,20,60,23,31,27,10,26,23,3,10,16,14,24,40,44,12,3,50,50,50,50,50,50,22,21,23,21,50,25,1,1,1,1,1,0.9,0.8,0.2,0.8,0.3,0.9,0.7,28.2,32.5,29.8,38.7,42.7,27.8,26.8,28.3,49.7,25,27.1,18.9,14.5,23.1,17.7,5.7,11.6,16.4,18.6,29.2,38,33.5,9,2.1,50,50,50,50,47.2,41.5,21.9,21.4,25.3,27.2,40,17.5,3,FALSE
"TEN",1,0,1,0,0,1,0,1,1,1,1,1,59,24,55,27,20,38,14,52,27,24,19,53,30,31,10,28,24,31,19,21,24,0,8,28,25,23,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.2,0.8,0.3,1,1,1,0.9,0.7,51.6,30.5,45.9,26.7,23,34.6,22.9,44.2,25.6,25.9,23.9,37.1,28.2,26.5,15,27.5,24.9,27.6,19.9,19.5,17.6,4.4,11.2,19.6,27.1,31.1,50,50,50,50,50,50,50,50,45,35,1,FALSE
"TEX",0,1,0,0,0,1,1,0,1,0,0,1,3,42,44,27,7,24,23,0,59,20,45,23,38,28,45,30,50,17,9,24,20,38,48,17,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0.1,0.3,0.9,0.8,0.2,0.7,0.1,0.2,0.7,14.9,40.9,36.9,22.7,12,21.4,22,13.8,49.8,25.3,36.1,16.1,36.7,31.6,42.5,32.7,39.3,16.1,13.1,24.6,26.4,37.9,37,11.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"TLN",0,0,1,1,0,0,0,0,0,1,0,0,7,10,38,45,10,7,14,13,3,34,21,34,37,65,7,31,49,42,31,41,7,31,49,45,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.3,0.9,0.7,0,0,0,0.1,0.2,0.7,0,0,10.7,19.1,36.6,34.2,9.8,9,12.7,13.1,11,31.4,21.5,23.8,39.6,50,16,35.7,45.8,39.7,30.6,33.2,16,36,43.3,31.5,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"TLS",1,1,0,0,1,0,0,1,1,0,0,1,47,40,38,24,34,17,42,40,45,38,21,45,44,21,52,38,24,30,66,31,30,49,44,34,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.7,0.1,0.2,0.7,0.1,0.3,0.9,0.7,0.1,0.2,0.7,44.7,38,34.8,25.3,31.4,24.3,41.9,40.8,41.2,35.3,23.7,31.5,40.2,28.9,46.4,34.4,29.4,37.3,55.4,32.6,35.2,46.5,37.6,23.8,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"TROY",0,1,0,0,0,0,1,0,1,0,0,1,21,44,3,18,17,16,52,41,51,10,21,41,49,16,28,24,45,19,7,44,14,45,31,17,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0.1,0.2,0.8,0.2,0.7,0.1,0.2,0.7,23.8,33.2,7.4,17.6,20.3,25.7,49.7,39.9,39.8,15.3,22.9,28.7,40.3,19.2,28.9,27.7,36,19.1,15.1,38.1,21.9,39.4,25.1,11.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"TXAM",1,1,1,1,1,0,0,1,0,1,1,0,38,56,44,28,30,23,3,35,10,41,25,7,17,23,27,21,17,41,23,28,26,17,0,19,50,16,17,14,14,9,16,50,25,50,50,50,1,1,1,0.9,0.7,0.1,0.2,0.8,0.3,0.9,0.7,0,42.2,50.8,39.4,27.9,25.9,20.2,10.1,30.6,17.7,34.4,18.9,4.9,19.2,23.6,24.8,22.2,22.4,36.1,24.3,26.5,21.6,13.8,3.8,13.3,39.9,16,16.1,13.5,13.2,14.5,23.7,45,32.5,50,45,35,2,FALSE
"TXST",0,1,0,0,0,1,0,0,0,1,0,0,16,63,50,14,27,36,13,21,19,16,31,17,59,24,56,59,49,18,37,31,41,3,38,55,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0.1,0.2,0.7,0,0.1,0.2,0.7,0,0,28.8,55.5,40.5,18.8,27.4,29.9,15.2,20.1,19.6,19.1,25.1,11.9,51.7,33.9,55.9,52.9,41.6,23.1,36.2,30.2,33.1,15.2,37.6,38.5,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"TXT",1,1,1,0,0,1,1,0,0,0,1,1,59,69,35,52,35,66,30,27,53,26,59,48,45,20,24,55,63,31,20,63,70,31,44,45,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.7,0.1,0.3,0.9,0.7,0,0.1,0.3,0.9,0.7,58.6,60.5,38.4,50,40.7,54.9,31.7,32.1,48.2,34.8,50.9,33.6,37.9,24.3,34.1,54.2,52.3,32,33.6,61.2,59.6,35,39.8,31.5,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"UCLA",1,1,1,1,0,0,1,1,1,0,1,0,34,37,24,56,23,35,40,35,41,27,17,21,16,3,23,30,38,56,24,31,0,31,9,40,13,13,10,9,7,18,50,24,22,18,50,22,1,1,0.9,0.7,0.1,0.3,1,0.9,0.8,0.2,0.7,0,33.6,36.3,30.3,47.3,27.1,36,39.1,35.4,35.8,24.4,16.1,14.7,14.1,9.7,25.9,34.2,40.2,47.1,23,24.8,7.1,27.5,14.3,28,12.7,12,9.5,9.5,13.5,25,42,23,24,24.8,39.4,15.4,3,FALSE
"UNLV",0,0,0,1,1,0,0,0,1,0,0,0,30,3,7,80,23,27,28,27,41,35,14,28,38,37,28,8,17,33,31,55,21,49,52,35,50,50,50,50,50,50,50,50,50,50,50,50,0,0.1,0.3,0.9,0.7,0,0.1,0.2,0.7,0,0,0,22.3,11.5,23.2,63.3,24.3,27.2,29.1,30.6,37.1,30.1,15.4,19.6,36.8,32.3,22.9,12.3,21.6,34.8,34.8,47.6,29.7,48.2,43.4,24.5,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"USC",1,1,0,1,0,0,1,1,1,1,0,1,55,59,31,42,12,31,42,27,38,27,28,40,6,9,41,14,17,41,24,21,30,24,48,21,8,8,6,19,17,50,50,50,50,50,22,50,0.9,0.8,0.2,0.7,0.1,0.3,1,1,0.9,0.8,0.2,0.7,53.4,51.7,31.3,34.9,18.8,32.8,38.6,29.2,34.8,28.5,27.6,28,10.1,15.9,33.2,17.3,22.5,35.6,24,23.1,30.6,28.5,37.8,14.7,7.8,8.7,9.7,21.7,26.9,50,50,50,47.2,44.4,25.4,35,3,FALSE
"UTAH",1,1,1,1,1,1,0,1,1,0,0,1,24,24,45,62,30,34,24,27,34,30,9,20,17,14,24,20,24,18,42,12,23,37,17,14,50,24,21,18,5,4,3,13,13,10,18,50,1,1,1,1,0.9,0.8,0.3,0.9,0.7,0.1,0.2,0.7,26.1,32,46.9,52.8,30.2,31.3,25.6,28.7,30.7,24.8,10.3,14,17.1,16.6,23.2,20.6,24.6,22.2,34.1,16.7,25.2,30.7,14.7,9.8,41.9,22.8,18.8,14,4.6,4.7,6,12.7,12.9,15.6,22.6,35,3,FALSE
"UTEP",0,0,1,1,0,0,1,0,1,0,0,1,13,20,50,27,6,12,27,13,24,21,15,20,48,69,47,17,25,52,17,34,21,31,17,17,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.3,0.9,0.7,0.1,0.2,0.8,0.2,0.7,0.1,0.2,0.7,18.1,26.7,41,21.3,9.3,15.1,23.9,16,22.5,19.7,14.5,14,52.1,59.4,38.8,22.1,29.6,43.2,20.8,31.1,22.6,26.8,15.3,11.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"UTSA",0,0,0,0,1,0,0,0,0,1,1,0,32,3,14,31,25,31,10,23,31,30,34,7,42,30,69,33,6,34,32,30,36,27,24,42,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0.1,0.2,0.7,0,0,0.1,0.3,0.9,0.7,0,24.4,8,18.5,29.8,24.7,26,14.7,25.3,31.1,28.5,25.2,4.9,42.3,38.1,55.5,27.7,14.2,33.2,32,30.9,33,27.9,25.2,29.4,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"UTST",1,0,0,1,1,1,0,1,0,0,1,0,12,14,17,33,56,52,14,58,13,28,31,28,9,24,31,18,14,26,48,27,14,35,27,51,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.3,1,0.9,0.8,0.2,0.7,0.1,0.2,0.7,0,12.9,16.5,24.1,39.5,51,45,22.7,46,17.8,28.6,27.3,19.6,14.2,24.8,26.7,18,19.8,30.5,40.4,25.2,19.5,35,29.1,35.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"VAN",0,0,1,0,1,0,1,0,0,1,0,0,12,14,47,16,17,10,10,0,7,21,0,28,14,31,7,27,13,19,3,34,9,17,25,53,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.2,0.8,0.2,0.8,0.2,0.7,0.1,0.2,0.7,0,0,15.9,20.8,37.8,15.6,14.9,9,7.7,3.5,9.1,17.5,5.6,19.6,16.7,25.8,11.6,23.4,13.2,17.3,9.8,27.3,12.2,22.2,28.1,37.1,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"VIR",0,0,1,0,0,1,0,1,0,0,1,0,16,27,35,14,19,44,13,27,21,31,42,20,34,34,29,56,26,38,26,21,27,38,34,23,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.2,0.7,0.1,0.2,0.8,0.2,0.7,0.1,0.2,0.7,0,20.1,27.3,29.2,18,23.4,36.1,16.6,26.2,25.1,32.1,33.4,14,33.5,35.2,34.1,48.2,28.4,33.9,25.1,23.9,29.9,35.7,28.4,16.1,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"VTCH",0,1,1,0,0,1,0,0,1,1,0,1,24,42,51,28,13,28,20,43,26,23,27,23,42,3,24,35,17,13,30,45,10,21,30,20,50,50,50,50,50,50,50,50,50,50,50,50,0.3,0.9,0.7,0.1,0.2,0.7,0.1,0.3,0.9,0.8,0.2,0.7,30.3,42.4,42.6,25,16.7,27.9,25.2,37.6,25.5,23.8,23.5,16.1,32.4,10.4,25.5,29.2,17.5,19.6,31,35.6,14.2,22.7,25,14,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"WAKE",1,0,1,0,0,1,0,0,0,0,0,0,41,17,17,24,16,3,14,17,19,7,13,21,3,30,14,31,24,0,50,35,20,28,33,27,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.2,0.7,0,0,0,0,0,0,33.8,17.7,18.3,20.3,13.2,6.6,15.1,16.4,16,9.6,13.3,14.7,9.5,26.9,18.4,26.5,21.8,13.5,44,31.3,22.9,28.9,28.5,18.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"WAS",0,1,1,0,1,0,0,1,0,0,1,1,13,49,31,24,17,20,14,49,23,17,52,45,16,0,17,30,12,26,31,3,34,27,7,10,50,50,50,50,50,50,50,50,50,50,50,50,0.3,0.9,0.8,0.2,0.7,0.1,0.2,0.7,0.1,0.3,0.9,0.7,22,42.9,28.2,22.2,17.3,21.7,21.9,40.6,24.7,26.8,45.4,31.5,12.9,6.4,19.1,26,16.7,24.7,25.7,11.6,29.9,21.3,6.9,7,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"WAST",0,1,1,0,1,1,1,0,1,1,1,0,17,37,31,28,45,52,45,28,38,31,27,10,24,34,14,34,38,31,42,30,24,27,3,45,50,50,50,50,50,50,50,50,50,50,24,20,0.3,0.9,0.8,0.3,1,0.9,0.8,0.3,1,0.9,0.7,0,22.4,34.9,31.8,33.8,46.4,48.2,40.9,30.3,35.5,28.1,20.9,7,25,30,20.4,34.5,37,33.1,37.8,28.5,22.5,24,11.1,31.5,50,50,50,50,50,50,50,50,47.4,41.8,20.8,14,1,FALSE
"WIS",0,1,1,1,0,1,1,1,1,1,0,1,17,58,28,28,6,23,24,24,48,31,7,31,35,0,3,0,10,21,7,13,10,24,13,21,20,50,24,23,19,50,50,50,50,50,21,50,0.3,1,0.9,0.8,0.3,1,1,1,0.9,0.8,0.2,0.7,26.3,49,25.8,23.1,11.2,23.3,26.4,29.5,40.5,26.2,11.1,21.7,24.8,0.6,3.1,4.1,11.9,17.4,8.5,13.5,13.1,21.5,13.3,14.7,26.4,42.1,23.3,24.9,28.3,50,50,50,47.1,44.2,24.7,35,3,FALSE
"WKY",1,1,0,1,1,1,1,0,1,1,1,1,14,41,35,56,49,58,55,20,55,35,63,49,12,38,38,14,10,28,28,48,30,19,7,28,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.8,0.3,1,1,0.9,0.8,0.3,1,1,0.9,0.7,21.5,41.3,40.6,54.8,51.4,53.6,48,28.5,51.8,42,53.9,34.3,19.8,35.6,30.4,14.6,15.4,30,32.2,41.5,25.5,17.5,10.5,19.6,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"WMCH",0,0,1,0,1,1,1,1,1,0,0,1,24,17,52,12,41,49,35,58,54,27,19,35,37,43,20,38,39,14,13,28,7,41,27,30,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.2,0.8,0.3,1,1,1,0.9,0.7,0.1,0.2,0.7,25.4,23.5,42.9,21.5,42,47.1,41.5,54.1,45.1,26.2,20.3,24.5,36.5,37.9,25.5,35.8,31.4,15.2,15.4,25.1,15.8,37.1,24.9,21,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"WVA",1,1,1,0,0,0,0,1,1,1,1,0,44,41,45,24,26,38,10,31,38,49,30,23,0,17,6,44,33,62,40,26,20,0,6,24,50,50,50,23,50,50,50,50,50,50,50,50,1,0.9,0.7,0,0,0.1,0.3,1,1,0.9,0.7,0,43.5,40.1,38.9,25.8,26.8,31.7,17,34.2,39.4,42.6,25.6,16.1,4,17.5,16.3,43.6,39.5,54,35.2,22.2,14.6,3.6,9,16.8,50,47.3,44.6,31.1,50,50,50,50,50,50,45,35,4,FALSE
"WYO",0,0,0,0,0,0,1,0,0,0,0,1,13,29,14,28,13,17,28,14,27,7,3,35,24,48,31,38,31,31,21,34,58,26,38,28,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0.1,0.2,0.7,0,0,0.1,0.2,0.7,16.3,25.9,16.7,23.9,15.3,18.9,25.1,15.9,20.6,9,9.1,24.5,29.5,43.6,32.4,35.9,30,29.3,27.3,38,49.6,28.6,32.2,19.6,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
